model,sim_mode,split_mode,combined_name,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_10_accuracy,true_first_down_rate,first_down_brier,first_down_log_loss,first_down_roc_auc,first_down_average_precision,point_yards_mae,point_yards_rmse,point_yards_correlation,point_yards_r2,expected_yards_mae,expected_yards_rmse,expected_yards_correlation,expected_yards_r2,yards_plays_evaluated,state_log_loss,state_plays_evaluated,state_plays_excluded,drive_score_accuracy,drive_score_precision,drive_score_recall,drive_score_f1,drive_score_actual_rate,drive_score_predicted_rate,drive_td_accuracy,drive_td_precision,drive_td_recall,drive_td_f1,drive_td_actual_rate,drive_td_predicted_rate,drive_fg_accuracy,drive_fg_precision,drive_fg_recall,drive_fg_f1,drive_fg_actual_rate,drive_fg_predicted_rate,drive_points_mae,drive_points_rmse,drive_plays_mae,drive_plays_rmse,drive_yards_gained_mae,drive_yards_gained_rmse,drive_final_state_accuracy,drive_final_state_macro_precision,drive_final_state_macro_recall,drive_final_state_macro_f1,drive_final_state_weighted_precision,drive_final_state_weighted_recall,drive_final_state_weighted_f1,drives_evaluated
simple_markov,greedy,all,simple_markov_greedy_all,0.11,0.358,0.641,0.869,0.25,0.167,0.505,0.705,0.436,5.935,9.988,-0.019,-0.368,5.609,8.483,0.122,0.013,165503,2.306,191227,4,0.676,0.755,0.109,0.191,0.35,0.051,0.792,0.724,0.007,0.014,0.209,0.002,0.84,0.318,0.109,0.163,0.142,0.049,1.804,3.273,3.091,4.32,27.694,37.335,0.408,0.242,0.186,0.126,0.357,0.408,0.254,29167
simple_markov,max_prob,all,simple_markov_max_prob_all,0.11,0.358,0.641,0.869,0.25,0.167,0.505,0.705,0.436,5.935,9.988,-0.019,-0.368,5.609,8.483,0.122,0.013,165503,2.306,191227,4,0.676,0.755,0.109,0.191,0.35,0.051,0.786,0.444,0.108,0.174,0.209,0.051,0.858,0.0,0.0,0.0,0.142,0.0,1.83,3.333,4.933,6.092,27.882,37.413,0.153,0.158,0.159,0.102,0.246,0.153,0.157,29167
simple_markov,sample1,all,simple_markov_sample1_all,0.11,0.358,0.641,0.869,0.25,0.167,0.505,0.705,0.436,5.935,9.988,-0.019,-0.368,5.609,8.483,0.122,0.013,165503,2.306,191227,4,0.579,0.398,0.396,0.397,0.35,0.348,0.684,0.239,0.234,0.236,0.209,0.205,0.759,0.155,0.157,0.156,0.142,0.143,2.525,3.846,3.734,4.841,29.75,37.756,0.265,0.182,0.182,0.182,0.264,0.265,0.264,29167
simple_markov,greedy,bundle,simple_markov_greedy_bundle,0.116,0.372,0.652,0.869,0.248,0.166,0.503,0.704,0.432,5.92,9.966,-0.02,-0.368,5.592,8.468,0.119,0.012,164455,2.306,190100,12,0.679,0.765,0.113,0.197,0.348,0.051,0.794,0.797,0.009,0.018,0.207,0.002,0.842,0.323,0.112,0.167,0.141,0.049,1.787,3.257,3.1,4.314,27.535,37.137,0.409,0.255,0.187,0.128,0.373,0.409,0.256,29016
simple_markov,max_prob,bundle,simple_markov_max_prob_bundle,0.116,0.372,0.652,0.869,0.248,0.166,0.503,0.704,0.432,5.92,9.966,-0.02,-0.368,5.592,8.468,0.119,0.012,164455,2.306,190100,12,0.679,0.765,0.113,0.197,0.348,0.051,0.788,0.452,0.112,0.18,0.207,0.051,0.859,0.0,0.0,0.0,0.141,0.0,1.812,3.316,4.945,6.1,27.693,37.204,0.154,0.158,0.163,0.103,0.246,0.154,0.157,29016
simple_markov,sample1,bundle,simple_markov_sample1_bundle,0.116,0.372,0.652,0.869,0.248,0.166,0.503,0.704,0.432,5.92,9.966,-0.02,-0.368,5.592,8.468,0.119,0.012,164455,2.306,190100,12,0.576,0.393,0.398,0.395,0.348,0.352,0.685,0.239,0.237,0.238,0.207,0.206,0.759,0.159,0.165,0.162,0.141,0.146,2.532,3.851,3.729,4.842,29.703,37.732,0.264,0.183,0.183,0.183,0.265,0.264,0.264,29016
simple_markov,greedy,cut2020,simple_markov_greedy_cut2020,0.11,0.38,0.643,0.869,0.252,0.168,0.507,0.705,0.442,5.91,9.803,-0.016,-0.38,5.471,8.285,0.128,0.014,170553,2.34,196811,2,0.65,0.782,0.093,0.166,0.375,0.045,0.78,0.822,0.006,0.011,0.221,0.002,0.831,0.333,0.093,0.145,0.155,0.043,1.929,3.387,3.271,4.527,28.602,38.12,0.374,0.255,0.183,0.117,0.367,0.374,0.22,29126
simple_markov,max_prob,cut2020,simple_markov_max_prob_cut2020,0.11,0.38,0.643,0.869,0.252,0.168,0.507,0.705,0.442,5.91,9.803,-0.016,-0.38,5.471,8.285,0.128,0.014,170553,2.34,196811,2,0.653,0.738,0.117,0.201,0.375,0.059,0.769,0.411,0.11,0.174,0.221,0.059,0.845,0.0,0.0,0.0,0.155,0.0,1.966,3.451,4.95,6.174,28.847,38.235,0.166,0.143,0.162,0.101,0.217,0.166,0.156,29126
simple_markov,sample1,cut2020,simple_markov_sample1_cut2020,0.11,0.38,0.643,0.869,0.252,0.168,0.507,0.705,0.442,5.91,9.803,-0.016,-0.38,5.471,8.285,0.128,0.014,170553,2.34,196811,2,0.565,0.412,0.373,0.392,0.375,0.339,0.676,0.246,0.226,0.236,0.221,0.203,0.756,0.174,0.154,0.163,0.155,0.137,2.598,3.907,3.796,4.915,29.916,37.798,0.253,0.18,0.179,0.179,0.244,0.253,0.248,29126
simple_markov,greedy,yearly,simple_markov_greedy_yearly,0.114,0.364,0.628,0.853,0.248,0.167,0.531,0.699,0.426,5.921,9.961,-0.017,-0.369,5.62,8.496,0.103,0.005,164545,3.358,190086,26,0.678,0.763,0.114,0.198,0.349,0.052,0.794,0.681,0.012,0.023,0.208,0.003,0.841,0.321,0.112,0.164,0.141,0.049,1.791,3.257,3.1,4.301,27.513,37.041,0.409,0.238,0.187,0.129,0.352,0.409,0.258,29016
simple_markov,max_prob,yearly,simple_markov_max_prob_yearly,0.114,0.364,0.628,0.853,0.248,0.167,0.531,0.699,0.426,5.921,9.961,-0.017,-0.369,5.62,8.496,0.103,0.005,164545,3.358,190086,26,0.677,0.744,0.121,0.205,0.349,0.057,0.785,0.454,0.116,0.182,0.208,0.055,0.858,0.09,0.006,0.011,0.141,0.002,1.829,3.329,4.702,5.866,27.797,37.251,0.199,0.178,0.168,0.116,0.27,0.199,0.184,29016
simple_markov,sample1,yearly,simple_markov_sample1_yearly,0.114,0.364,0.628,0.853,0.248,0.167,0.531,0.699,0.426,5.921,9.961,-0.017,-0.369,5.62,8.496,0.103,0.005,164545,3.358,190086,26,0.577,0.394,0.393,0.393,0.349,0.349,0.679,0.229,0.229,0.229,0.208,0.209,0.765,0.166,0.164,0.164,0.141,0.14,2.552,3.877,3.731,4.827,29.706,37.716,0.264,0.18,0.18,0.18,0.265,0.264,0.264,29016
